word,training_document_frequency,feature_mean,correlation
a,37,0.03136825,0.0414844308
abandoned,1,0.0003903,0.0048814884
abducted,1,0.0002516,0.0046803136
ability,1,0.00027545,-0.0051781316
able,1,0.00057645,0.0068953167
about,19,0.005284625,0.008505926
above,2,0.001233025,-0.0048477441
absence,1,0.00072185,-0.0149809273
absolutely,1,0.000731475,0.0113331821
absorb,0,0.0,0.0
abstract,0,0.0,0.0
absurd,1,0.001937625,-0.0278137586
abuse,3,0.000845575,0.0161113824
abused,1,0.0002516,0.0046803136
academy,1,0.000340825,0.0070685758
accent,1,0.000877275,-0.0168361329
accepted,0,0.0,0.0
accepts,0,0.0,0.0
access,0,0.0,0.0
acclaimed,1,0.000330675,0.0051084588
accomplice,1,0.000141925,0.0003730226
according,1,0.000330675,0.0051084588
accountant,0,0.0,0.0
accrued,1,0.0003903,0.0048814884
accumulated,1,0.0002516,0.0046803136
accurate,1,0.001648375,-0.0307628482
accusations,1,0.0010619,-0.0166041122
accused,1,0.000736325,0.013044399
accuses,0,0.0,0.0
achieve,1,0.001041925,0.0009060697
achievement,0,0.0,0.0
achieving,1,0.000634725,0.0075923842
acquainted,1,0.00033575,0.0083780427
acquaints,1,0.00033575,0.0083780427
across,2,0.00132555,0.0004101977
act,0,0.0,0.0
acted,0,0.0,0.0
acting,5,0.001596375,0.022475132
action,4,0.002399675,-0.0019610093
actions,1,0.000634725,0.0075923842
actor,2,0.0009842,0.0161564454
actors,4,0.0023482,-0.0226651201
actress,3,0.00160995,0.0093314236
actresses,5,0.002306975,-0.0215582157
acts,0,0.0,0.0
actual,2,0.000721375,0.0118093229
actually,8,0.00267345,-0.0027457755
add,1,0.00011965,0.0003144771
added,1,0.000569325,0.0078311832
additional,0,0.0,0.0
adds,1,0.000453875,0.0126768419
admit,1,0.000354475,0.0044334246
adopted,1,0.0002516,0.0046803136
adoptive,2,0.0008174,0.0117520681
adopts,0,0.0,0.0
ads,1,0.00049975,0.013958142
adult,1,0.0006102,-0.0049359133
adults,1,0.0007889,0.0038314257
adventure,1,0.000141925,0.0003730226
affect,2,0.0012387,-0.0047886514
affected,1,0.00027545,-0.0051781316
affectionate,0,0.0,0.0
affects,1,0.001041925,0.0009060697
affluence,1,0.00027545,-0.0051781316
afraid,1,0.000337725,-0.0026396717
after,6,0.002537775,-0.0167565452
again,2,0.00079235,0.0080255722
against,0,0.0,0.0
age,1,0.0007889,0.0038314257
aggravates,1,0.000800275,-0.0100707804
ago,1,0.00038345,-0.0052703619
agree,1,0.0010619,-0.0166041122
agreements,1,0.0002516,0.0050698684
ahead,1,0.00038345,-0.0052703619
aids,3,0.00078255,0.0169691492
ailments,1,0.000330675,0.0051084588
air,2,0.001069875,-0.003127576
aires,0,0.0,0.0
airline,1,0.000141925,0.0003730226
airport,1,0.001703475,0.0044772571
airwaves,1,0.0002516,0.0046803136
alice,0,0.0,0.0
alida,0,0.0,0.0
aliens,0,0.0,0.0
alive,0,0.0,0.0
all,15,0.00494165,0.0300582949
allen,3,0.0050797,-0.0779112384
alluring,0,0.0,0.0
almost,4,0.00120985,0.0019308311
alone,0,0.0,0.0
along,2,0.000313575,-0.0036101699
already,1,0.0002285,0.0046043916
alright,1,0.000141925,0.0003730226
also,8,0.00376405,0.0257478243
although,2,0.000755675,-0.0106949869
always,0,0.0,0.0
am,1,0.0001289,0.0003387889
amazement,1,0.000634725,-0.0131733591
amazing,0,0.0,0.0
ameche,0,0.0,0.0
american,2,0.0007985,0.0049612266
americanized,1,0.000746275,0.0109007462
americans,0,0.0,0.0
amid,1,0.00027545,-0.0051781316
among,1,0.000340825,0.0070685758
amoral,0,0.0,0.0
amount,1,0.0003608,0.0101674541
amuse,1,0.000634725,0.0075923842
amusing,1,0.0006102,-0.0049359133
an,22,0.0072829,-0.0308748239
and,38,0.023038,0.017223893
anderson,3,0.000773975,0.0153163013
anger,1,0.000306725,-0.0023973745
