Normalisation,C,Mean training accuracy,Mean CV accuracy,CV standard deviation,Rank
Normalizer(),1.0,1.0,0.775,0.16583123951777,1
Normalizer(),10.0,1.0,0.75,0.1767766952966369,2
Normalizer(),100.0,1.0,0.75,0.1767766952966369,2
passthrough,100.0,1.0,0.75,0.11180339887498948,2
passthrough,10.0,1.0,0.7,0.1,5
Normalizer(),0.1,1.0,0.675,0.06123724356957946,6
passthrough,0.1,1.0,0.675,0.06123724356957946,6
passthrough,0.01,1.0,0.675,0.06123724356957946,6
passthrough,1.0,1.0,0.675,0.06123724356957946,6
Normalizer(),0.01,1.0,0.575,0.06123724356957946,10
